"Werk","Autor","Zeit/Entstehung","Berichtszeit/Laufzeit","Prägung/Weltbild","Geprägt von (Quellen)","Überlieferung/Edition (Signatur)","Digital (Hinweis)","Prägte (Wirkung)","Notizen"
"Brennwald (Heinrich/Johannes Brennwald, Schweizerchronik)","Heinrich Brennwald","1508–1516","bis 1509","Eidgenössisch, Helvetier-Narrativ","Edlibach u. a.","ZB Zürich Hss.","e-manuscripta/HLS","Stumpf","Kompendium"
"Bullinger (Heinrich Bullinger, historiographische Werke)","Heinrich Bullinger","1568; 1573–1574","bis 16. Jh.","Zürcherisch, moderat","Stumpf; Zürcher Akten; kennt Fründ","Autoren-Ms.; Teildrucke","TVZ","Zürcher Tradition","kompilierend"
"Rüeger (Johann Jakob Rüeger, Schaffhauser Chronik)","Johann Jakob Rüeger","ca. 1580–1600","bis ca. 1600","Schaffhauserisch, städtisch","Stadtarchive","StASH Hss.","—","Regionaltradition","—"
"Wick (Johann Jakob Wick, Wickiana)","Johann Jakob Wick","1559–1576","1559–1576","Zürich, bürgerlich-sammlerisch","Flugschriften, Berichte","ZB Zürich, Wickiana","e-manuscripta","Frühe-Neuzeit-Memoria","Materialsammlung"
"Johannes von Winterthur (Winterthurer Chronik)","Johannes von Winterthur","ca. 1340–1348","bis 1348","Franziskanisch-gelehrt","Kloster-/Stadtquellen","Hss. div.","—","Vorlage späterer Chroniken","—"
"Twinger von Königshofen (Jakob Twinger von Königshofen, Chronik)","Jakob Twinger von Königshofen","ca. 1380–1400","bis 1382+","Reichsstädtisch, elsässisch","Stadt Straßburg","Hss./Frühdrucke","—","Grundlage Fortsetzungen","—"
"Klingenberger/Rapperswiler Chronik (Eberhard Wüest, ed.)","zugeschr. Eberhard Wüest","bis 1444","1001–11/1444","Zürich/österreichnah, nüchtern","Zuverlässige Datierungen/Ortsangaben","ZB Zürich, Ms A 113","—","Brennwald; Vadian; Tschudi","sehr zuverlässig"
"Anonyme Rapperswiler Version (Österreichische Partei, 1443–1444)","anonym (Rapperswil)","1443–1444","1443–1444","Österreichisch, städtisch","Kanzleiquellen","—","—","Gegenstimme zu Fründ","—"
"Anonyme Basler Fortsetzung der Königshofen-Chronik („Von den von Zürich“)","anonym (Basel)","1450er","1440er–1450er","Reichsstädtisch, habsburgkritisch","Königshofen-Tradition","Basler Fortsetzungs-Hss.","—","—","„Von den von Zürich“"
"Berner Chronik (allgemein)","—","—","—","Sammelbegriff","—","—","—","Proxy für ungenaue Nennungen","fasst Justinger/Tschachtlan/Schilling"
"Luzerner Chronik (allgemein)","—","—","—","Sammelbegriff","—","—","—","Proxy für ungenaue Nennungen","fasst Schilling d. J./Cysat"
"Zürcher Stadtchronik (allgemein)","—","—","—","Sammelbegriff","—","—","—","Proxy bei unscharfer Zuweisung","—"
"Wurstisen (Christian Wurstisen, Baselische Chronik)","Christian Wurstisen","1580er","bis 1580","Baslerisch, humanistisch","Basler Archive/Drucke","Druck Basel 1580","e-rara","Basler Historiographie","—"
"Cysat (Renward Cysat, Luzerner Collectanea)","Renward Cysat","1590–1614","bis 1614","Luzernisch, sammelnd","Urkunden, Berichte","ZHB Luzern Collectanea","—","Luzerner Tradition","—"
"Knebel (Johannes Knebel, Basler Jahrzeitbuch/Chronik)","Johannes Knebel","1460er–1510er","1460er–1510er","Baslerisch, memorial","Pfarrei-/Ratsquellen","Basel Hss.","—","Memorialüberlieferung","—"
"Weisses Buch von Sarnen","anonym (Obwalden)","ca. 1470","13.–15. Jh.","Innerschweizerisch, bündisch","Kloster-/Amtsschriften","Obwalden Hss.","—","Gründungsnarrative","Tell-Überlieferung"
"Salat (Johannes Salat, Chronik)","Johannes Salat","1530–1534","1520er–1530er","Zugerisch, katholisch","Kantonsquellen","Zug/Luzern Hss./Drucke","—","Gegenreformation","—"
"Michael Stettler (Berner Chronik 1620–1622)","Michael Stettler","1620–1622","bis 1622","Bernisch, amtlich","Berner Archive","Ms.; Druck 1627/31","—","Bernische Konsolidierung","frühe Fassung"
"Simler (Josias Simler, De Helvetiorum republica / Republika Helvetiorum)","Josias Simler","1576 (Druck)","Staatsordnung 16. Jh.","Versöhnend, reichsorientiert","Humanistenquellen","Zürich 1576","—","Staatsbild prägend","Politographie"
"Johann von Müller (Geschichten der Schweizer Eidgenossenschaft)","Johann von Müller","1786–1806","bis 1516+","Nationalliberal-präfigurierend, Tschudi-nah","Tschudi; breite Quellen","Druck div. Orte","GB/Archive","19.-Jh. Standardbild","—"
"Hottinger (Johann Jakob Hottinger, Helvetische Kirchengeschichte)","Johann Jakob Hottinger","1698–1729","Kirchengeschichte bis 17. Jh.","Zürich-reformiert, kirchengesch.","Quellen/Chroniken","Druck Zürich","—","Konfessionelle Deutung","—"
"Johann Jakob Leu (Allgemeines Helvetisches Lexikon)","Johann Jakob Leu","1735–1749","—","Nachschlagewerk, gesamtschweizerisch","—","Druck Zürich","—","Referenzrahmen 18. Jh.","—"
"Kopp (Joseph Eutych Kopp, Geschichte der Eidgenossen)","Joseph Eutych Kopp","1835–1848","bis 16. Jh.","Kritisch-quellenorientiert","Breite Chronikrezeption","Druck Luzern","—","19.-Jh. Forschung","—"
"Bluntschli/Vögelin (Geschichte des schweizerischen Bundesrechts)","J. C. Bluntschli; J. K. Vögelin","1875–1876","Bundesrecht bis 19. Jh.","Rechtsgeschichtlich","Rechtsquellen; Chroniken","Druck","—","Bundesrechtsdeutung","—"
"Arnold von Liebenau (Kappelerkriege)","Arnold von Liebenau","1879","1520er–1530er","Liberal-historiographisch","Akten; Chroniken","Druck","—","Reformationskriege","—"
"Zürcher Reformationschroniken (Sammelbegriff)","diverse","16. Jh.","1519–1530er","Zürich-reformiert","Bullinger; Stadtakten; Wickiana","ZB Zürich Hss.","—","Reformationsbild Zürich","Sammelbegriff"
"Chronik der Stadt Zürich (Edlibach u. a.)","diverse (u. a. Edlibach)","15.–16. Jh.","1436–1530","Zürich, aktennah","Stadtakten; Edlibach","ZB Zürich Hss.","—","Zürcher Traditionslinie","Sammelbegriff"
"Ulrich Campell (Raetiae descriptio/Chronik)","Ulrich Campell","1573–1582","bis 16. Jh.","Rätisch-humanistisch","Bündner Quellen","Hss./Drucke","—","Bündner Historiographie","—"
"Fortunat Sprecher (Rhaetia)","Fortunat Sprecher","1617","bis 17. Jh.","Rätisch, gelehrt","Bündner Quellen","Druck 1617","—","Bündner Deutung","—"
